201002,1,2,2,18,18
201002,1,3,4,12,12
201002,2,3,7,21,21
201002,3,4,2,2,2
201002,2,4,3,3,3
201002,4,5,5,20,20
201002,4,6,7,18,18
201002,5,7,8,22,22
201002,6,7,6,19,19
201002,5,6,8,21,21
201002,4,7,10,23,23
201002,2,8,1,1,1
201002,5,8,1,2,2
201002,7,11,1,1,1
201002,8,9,9,22,22
201002,9,10,11,23,23
201002,10,11,12,25,25
201002,8,11,11,21,21
201002,8,10,10,26,26
201002,9,11,8,19,19
201002,3,10,1,3,3
201002,1,11,1,2,2
201002,4,12,13,21,21
201002,5,12,9,18,18
201002,6,12,12,23,23
201002,7,12,8,19,19
201003,1,2,2,18,18
201003,1,3,4,12,12
201003,2,3,7,21,21
201003,3,4,2,2,2
201003,2,4,3,3,3
201003,4,5,5,20,20
201003,4,6,7,18,18
201003,5,7,8,22,22
201003,6,7,6,19,19
201003,5,6,8,21,21
201003,4,7,10,23,23
201003,2,8,7,24,24
201003,5,8,1,3,3
201003,7,11,1,1,1
201003,8,9,9,22,22
201003,9,10,11,23,23
201003,10,11,12,25,25
201003,8,11,11,21,21
201003,8,10,10,26,26
201003,9,11,8,19,19
201003,3,10,9,22,22
201003,1,11,11,25,25
201003,4,12,1,1,1
201003,6,12,1,2,2
201003,2,9,11,23,23
201003,2,10,13,21,21
201003,2,11,9,24,24
201003,3,8,12,22,22
201003,3,9,7,19,19
201003,1,8,14,23,23
201003,1,10,6,21,21
