001101,1,3,67
001101,1,2,68
001101,1,5,1
001101,2,3,63
001101,2,9,1
001101,3,4,2
001101,4,5,64
001101,4,6,62
001101,4,7,69
001101,4,12,1
001101,5,6,67
001101,5,7,65
001101,6,7,69
001101,6,10,2
001101,8,9,71
001101,8,10,73
001101,8,11,61
001101,9,10,78
001101,9,11,83
001101,10,11,71
001101,9,12,1
001102,1,11,1
001102,2,9,1
001102,3,7,1
001102,2,12,54
001102,4,5,71
001102,4,6,72
001102,4,7,74
001102,4,12,2
001102,5,6,67
001102,5,7,62
001102,6,7,68
001102,6,10,2
001102,8,9,75
001102,8,10,67
001102,8,11,66
001102,9,10,63
001102,9,11,61
001102,10,11,68
001103,1,2,1
001103,1,3,2
001103,1,5,2
001103,2,3,71
001103,2,8,1
001103,2,9,68
001103,2,12,69
001103,3,4,1
001103,3,9,71
001103,4,5,65
001103,4,6,64
001103,4,7,69
001103,5,6,71
001103,5,7,63
001103,6,7,68
001103,6,12,1
001103,4,12,1
001103,6,10,2
001103,8,9,2
001103,8,10,72
001103,8,11,74
001103,9,10,1
001103,9,11,2
001103,9,12,68
001103,10,11,68
