001101,1,3,21
001101,1,2,27
001101,1,5,3
001101,2,3,26
001101,2,8,3
001101,2,9,5
001101,3,4,5
001101,3,12,7
001101,4,5,25
001101,4,6,28
001101,4,7,20
001101,7,12,2
001101,5,6,21
001101,5,7,23
001101,6,7,26
001101,6,12,3
001101,6,10,2
001101,8,9,21
001101,8,10,31
001101,8,11,28
001101,9,10,20
001101,9,11,31
001101,10,11,32
001101,9,12,6
001102,1,2,6
001102,1,3,5
001102,1,5,3
001102,2,3,7
001102,2,8,3
001102,2,9,8
001102,2,12,11
001102,3,4,5
001102,3,12,9
001102,4,5,25
001102,4,6,28
001102,4,7,20
001102,4,12,2
001102,5,6,21
001102,5,7,23
001102,6,7,26
001102,6,10,2
001102,6,12,3
001102,8,9,21
001102,8,10,31
001102,8,11,28
001102,9,10,20
001102,9,11,31
001102,10,11,32
001103,1,2,6
001103,1,3,5
001103,1,5,3
001103,2,3,27
001103,2,8,3
001103,2,9,32
001103,2,12,31
001103,3,4,5
001103,3,9,28
001103,3,12,29
001103,4,5,25
001103,4,6,28
001103,4,7,20
001103,5,6,21
001103,5,7,23
001103,6,7,26
001103,6,12,3
001103,4,12,2
001103,6,10,2
001103,8,9,11
001103,8,10,39
001103,8,11,28
001103,9,10,7
001103,9,11,11
001103,9,12,31
001103,10,11,32
